🔁 Backfilling project_audio from legacy projects...

📦 Legacy projects found: 118890

⏳ 200/118890 (0%) | inserted=200 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 400/118890 (0%) | inserted=400 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 600/118890 (1%) | inserted=600 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 800/118890 (1%) | inserted=800 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 1000/118890 (1%) | inserted=1000 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 1200/118890 (1%) | inserted=1200 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 1400/118890 (1%) | inserted=1400 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 1600/118890 (1%) | inserted=1600 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 1800/118890 (2%) | inserted=1800 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 2000/118890 (2%) | inserted=2000 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 2200/118890 (2%) | inserted=2200 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 2400/118890 (2%) | inserted=2400 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 2600/118890 (2%) | inserted=2600 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 2800/118890 (2%) | inserted=2800 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 3000/118890 (3%) | inserted=3000 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 3200/118890 (3%) | inserted=3200 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 3400/118890 (3%) | inserted=3400 | alreadyHadAudio=0 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
