🔁 Backfilling project_audio from legacy projects...

📦 Legacy projects found: 118890

⏳ 200/118890 (0%) | inserted=180 | alreadyHadAudio=20 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=223
⏳ 400/118890 (0%) | inserted=224 | alreadyHadAudio=176 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=452
⏳ 600/118890 (1%) | inserted=379 | alreadyHadAudio=221 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=706
⏳ 800/118890 (1%) | inserted=579 | alreadyHadAudio=221 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=943
⏳ 1000/118890 (1%) | inserted=779 | alreadyHadAudio=221 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=1153
⏳ 1200/118890 (1%) | inserted=979 | alreadyHadAudio=221 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=1385
⏳ 1400/118890 (1%) | inserted=1157 | alreadyHadAudio=243 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=1602
⏳ 1600/118890 (1%) | inserted=1162 | alreadyHadAudio=438 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=1836
⏳ 1800/118890 (2%) | inserted=1206 | alreadyHadAudio=594 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=2052
⏳ 2000/118890 (2%) | inserted=1405 | alreadyHadAudio=595 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=2292
⏳ 2200/118890 (2%) | inserted=1473 | alreadyHadAudio=727 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=2525
⏳ 2400/118890 (2%) | inserted=1505 | alreadyHadAudio=895 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=2769
⏳ 2600/118890 (2%) | inserted=1515 | alreadyHadAudio=1085 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=3069
⏳ 2800/118890 (2%) | inserted=1527 | alreadyHadAudio=1273 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=3288
⏳ 3000/118890 (3%) | inserted=1534 | alreadyHadAudio=1466 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=3530
⏳ 3200/118890 (3%) | inserted=1690 | alreadyHadAudio=1510 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=3828
⏳ 3400/118890 (3%) | inserted=1729 | alreadyHadAudio=1671 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=4044
⏳ 3600/118890 (3%) | inserted=1819 | alreadyHadAudio=1781 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=4258
⏳ 3800/118890 (3%) | inserted=1918 | alreadyHadAudio=1882 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=4479
⏳ 4000/118890 (3%) | inserted=1962 | alreadyHadAudio=2038 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=4716
⏳ 4200/118890 (4%) | inserted=2124 | alreadyHadAudio=2076 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=4930
⏳ 4400/118890 (4%) | inserted=2292 | alreadyHadAudio=2108 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=5162
⏳ 4600/118890 (4%) | inserted=2293 | alreadyHadAudio=2307 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=5376
⏳ 4800/118890 (4%) | inserted=2297 | alreadyHadAudio=2503 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=5576
