🚀 Starting projects + audio migration: Thu Dec 11 23:13:44 -05 2025
\n=== (1/3) Migrating projects to DB ===
🚀 Starting Projects Migration

==================================================
📦 Found 120091 legacy projects to process

📋 Loading legacy users mapping...
   Found 48404 legacy users with Supabase IDs

📋 Loading existing migrated projects...
   Found 1 already migrated projects

📋 120090 projects to migrate (1 already done)


⏳ Progress: 200/120090 (0%) - Migrated: 200, Skipped: 0, Failed: 0
⏳ Progress: 400/120090 (0%) - Migrated: 399, Skipped: 1, Failed: 0
⏳ Progress: 600/120090 (0%) - Migrated: 599, Skipped: 1, Failed: 0
⏳ Progress: 800/120090 (1%) - Migrated: 799, Skipped: 1, Failed: 0
⏳ Progress: 1000/120090 (1%) - Migrated: 999, Skipped: 1, Failed: 0
⏳ Progress: 1200/120090 (1%) - Migrated: 1199, Skipped: 1, Failed: 0
⏳ Progress: 1400/120090 (1%) - Migrated: 1399, Skipped: 1, Failed: 0
⏳ Progress: 1600/120090 (1%) - Migrated: 1599, Skipped: 1, Failed: 0
⏳ Progress: 1800/120090 (1%) - Migrated: 1799, Skipped: 1, Failed: 0
⏳ Progress: 2000/120090 (2%) - Migrated: 1999, Skipped: 1, Failed: 0
⏳ Progress: 2200/120090 (2%) - Migrated: 2199, Skipped: 1, Failed: 0
⏳ Progress: 2400/120090 (2%) - Migrated: 2399, Skipped: 1, Failed: 0
⏳ Progress: 2600/120090 (2%) - Migrated: 2521, Skipped: 79, Failed: 0
⏳ Progress: 2800/120090 (2%) - Migrated: 2721, Skipped: 79, Failed: 0
⏳ Progress: 3000/120090 (2%) - Migrated: 2921, Skipped: 79, Failed: 0
⏳ Progress: 3200/120090 (3%) - Migrated: 3082, Skipped: 118, Failed: 0
⏳ Progress: 3400/120090 (3%) - Migrated: 3267, Skipped: 133, Failed: 0
⏳ Progress: 3600/120090 (3%) - Migrated: 3467, Skipped: 133, Failed: 0
⏳ Progress: 3800/120090 (3%) - Migrated: 3664, Skipped: 136, Failed: 0
⏳ Progress: 4000/120090 (3%) - Migrated: 3862, Skipped: 138, Failed: 0
⏳ Progress: 4200/120090 (3%) - Migrated: 4054, Skipped: 146, Failed: 0
⏳ Progress: 4400/120090 (4%) - Migrated: 4254, Skipped: 146, Failed: 0
⏳ Progress: 4600/120090 (4%) - Migrated: 4436, Skipped: 164, Failed: 0
⏳ Progress: 4800/120090 (4%) - Migrated: 4636, Skipped: 164, Failed: 0
⏳ Progress: 5000/120090 (4%) - Migrated: 4836, Skipped: 164, Failed: 0
⏳ Progress: 5200/120090 (4%) - Migrated: 5036, Skipped: 164, Failed: 0
⏳ Progress: 5400/120090 (4%) - Migrated: 5236, Skipped: 164, Failed: 0
⏳ Progress: 5600/120090 (5%) - Migrated: 5436, Skipped: 164, Failed: 0
⏳ Progress: 5800/120090 (5%) - Migrated: 5636, Skipped: 164, Failed: 0
⏳ Progress: 6000/120090 (5%) - Migrated: 5836, Skipped: 164, Failed: 0
⏳ Progress: 6200/120090 (5%) - Migrated: 6036, Skipped: 164, Failed: 0
⏳ Progress: 6400/120090 (5%) - Migrated: 6236, Skipped: 164, Failed: 0
⏳ Progress: 6600/120090 (5%) - Migrated: 6436, Skipped: 164, Failed: 0
⏳ Progress: 6800/120090 (6%) - Migrated: 6636, Skipped: 164, Failed: 0
⏳ Progress: 7000/120090 (6%) - Migrated: 6836, Skipped: 164, Failed: 0
⏳ Progress: 7200/120090 (6%) - Migrated: 7036, Skipped: 164, Failed: 0
⏳ Progress: 7400/120090 (6%) - Migrated: 7236, Skipped: 164, Failed: 0
⏳ Progress: 7600/120090 (6%) - Migrated: 7436, Skipped: 164, Failed: 0
⏳ Progress: 7800/120090 (6%) - Migrated: 7636, Skipped: 164, Failed: 0
⏳ Progress: 8000/120090 (7%) - Migrated: 7836, Skipped: 164, Failed: 0
⏳ Progress: 8200/120090 (7%) - Migrated: 8036, Skipped: 164, Failed: 0
⏳ Progress: 8400/120090 (7%) - Migrated: 8236, Skipped: 164, Failed: 0
⏳ Progress: 8600/120090 (7%) - Migrated: 8436, Skipped: 164, Failed: 0
⏳ Progress: 8800/120090 (7%) - Migrated: 8636, Skipped: 164, Failed: 0
⏳ Progress: 9000/120090 (7%) - Migrated: 8836, Skipped: 164, Failed: 0
⏳ Progress: 9200/120090 (8%) - Migrated: 9035, Skipped: 165, Failed: 0
⏳ Progress: 9400/120090 (8%) - Migrated: 9235, Skipped: 165, Failed: 0
⏳ Progress: 9600/120090 (8%) - Migrated: 9435, Skipped: 165, Failed: 0
⏳ Progress: 9800/120090 (8%) - Migrated: 9635, Skipped: 165, Failed: 0
⏳ Progress: 10000/120090 (8%) - Migrated: 9835, Skipped: 165, Failed: 0
⏳ Progress: 10200/120090 (8%) - Migrated: 10035, Skipped: 165, Failed: 0
⏳ Progress: 10400/120090 (9%) - Migrated: 10235, Skipped: 165, Failed: 0
⏳ Progress: 10600/120090 (9%) - Migrated: 10435, Skipped: 165, Failed: 0
